GUBERNATURA
03/06/2024 15:00 (UTC-6)
"
"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8166,8169,3,8166,100.0000,7414,'90.7910,10.7274,752,4409228,2477987,2468913,'56.2000
"
"
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND_1,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJO
'110753C0100,110753C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0753,01,C,00,1,0,373,383,7,392,195,12,2,10,9,16,124,,10,0,0,0,8,0,0,0,0,6,390,392,737,13, ,1,I,afb45e078c2380fd4f7fa3c970b95eb47dc1cc71295cf2e221954e6e0b823baf,02/06/2024 23:23:20,02/06/2024 23:26:25,02/06/2024 23:26:25,CASILLA,MOVIL,ACTA PREP,SI
'110753C0200,110753C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0753,02,C,00,1,0,350,406,9,414,196,6,4,16,4,17,146,,6,3,2,0,1,1,0,1,0,16,414,419,737,13, ,1,I,8ef0493c96aeb87436c80518fbb42df0fd4598f2e43a5f5c49a92430ea7bca04,03/06/2024 00:02:51,03/06/2024 00:07:41,03/06/2024 00:07:41,CASILLA,MOVIL,ACTA PREP,SI
'110753C0300,110753C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0753,03,C,00,1,0,397,359,8,368,201,19,4,8,4,22,87,,9,2,1,4,1,1,0,0,SIN DATO,5,368,368,737,13,ALGUN CAMPO ILEGIBLE O SIN DATO,1,I,773b90f62880d787f8ec17f0148547e38af512d85229c25832bce28f44ae9495,02/06/2024 23:00:47,02/06/2024 23:02:14,02/06/2024 23:02:14,CASILLA,MOVIL,ACTA PREP,SI
'110753C0400,110753C04000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0753,04,C,00,1,0,369,387,8,395,206,12,9,7,4,13,103,,11,2,0,0,9,0,1,0,0,18,395,395,736,13, ,1,I,25037f6905c1d4f4b91e1e186f072cb8eeb7dbfa06da11cce425bf6dea3768e7,02/06/2024 22:23:56,02/06/2024 22:25:00,02/06/2024 22:25:00,CASILLA,MOVIL,ACTA PREP,SI
'110754B0100,110754B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0754,01,B,00,1,0,247,294,5,299,165,11,3,9,3,13,73,,6,4,0,0,5,1,0,0,0,6,299,299,520,12, ,1,I,85918a641228b12809db283ae7c40a81b4eb0884a865d7504b84b9a448c39ca7,03/06/2024 00:12:44,03/06/2024 00:16:03,03/06/2024 00:16:03,CASILLA,MOVIL,ACTA PREP,SI
'110754C0100,110754C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0754,01,C,00,1,0,259,279,8,287,157,14,1,5,3,7,83,,4,3,0,0,4,0,0,0,SIN DATO,6,287,287,520,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,I,1e595f8f15a976d3e2eb31c35575ff4e2414ea7689c6d1f276884de2983609ff,03/06/2024 00:21:41,03/06/2024 00:27:49,03/06/2024 00:27:49,CASILLA,MOVIL,ACTA PREP,SI
'110754C0200,110754C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0754,02,C,00,1,0,0,0,0,312,166,21,2,3,1,13,84,,7,2,1,8,2,0,0,0,0,2,312,312,520,11, ,1,I,c6f463adde6c0ef9cfb392f491e0c77b8a130790945546c6a1b36185c9b20a4c,03/06/2024 00:22:52,03/06/2024 00:28:01,03/06/2024 00:28:01,CASILLA,MOVIL,ACTA PREP,NO
'110754S0100,110754S01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0754,01,S,00,1,0,596,432,0,432,203,16,5,7,7,30,132,,7,1,0,0,7,2,2,1,0,12,432,432,0,12, ,1,I,f903c9b9baff2160328070eeded22dab11aa9397a995f959152535af39e39e90,03/06/2024 01:10:26,03/06/2024 01:13:14,03/06/2024 01:13:14,CASILLA,MOVIL,ACTA PREP,SI
'110755B0100,110755B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0755,01,B,00,1,0,308,363,7,370,204,13,2,8,5,22,104,,1,0,0,0,4,0,0,0,0,7,370,370,649,14, ,1,I,198397589a3935e7466ffcfd2ebeacaf6c2173ebe0664a825ee53af669a8a5c6,02/06/2024 21:29:15,02/06/2024 21:30:44,02/06/2024 21:30:44,CASILLA,MOVIL,ACTA PREP,SI
'110755C0100,110755C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0755,01,C,00,1,0,297,380,0,380,196,16,4,10,6,25,104,,4,3,0,0,2,2,2,0,0,6,380,380,649,14, ,1,I,073a50deba1021444cc1e699d825d91fa529ba5c791b39ce7be2531c9957b1f9,02/06/2024 21:57:30,02/06/2024 21:58:34,02/06/2024 21:58:34,CASILLA,MOVIL,ACTA PREP,SI
